dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
Novato Unified,3,419.6666666666667,0.6079333333333333,3.0,419.6666666666667,24.0
Nuview Union,1,157.0,0.4919,1.0,157.0,20.0
Nuview Union ,1,157.0,0.4919,1.0,157.0,20.0
Oak Park Unified,2,407.5,0.8859,2.0,407.5,27.0
Oakdale Joint Unified,2,393.5,0.7417499999999999,2.0,393.5,23.5
Oakland Unified,23,282.3478260869565,0.3098739130434782,13.0,438.46153846153845,19.076923076923077
Oceanside Unified,3,984.3333333333334,0.5485666666666666,3.0,984.3333333333334,20.666666666666668
Ojai Unified,2,174.5,0.5714,2.0,174.5,24.0
Orange County Department of Education,3,310.6666666666667,0.4840333333333333,2.0,413.5,20.5
Orange Unified,6,745.5,0.3260166666666667,4.0,985.75,24.25
Orcutt Union Elementary,2,145.0,0.7857,2.0,145.0,25.0
Orland Joint Unified,2,171.5,0.4375,2.0,171.5,19.0
Oro Grande,2,382.0,0.3297,2.0,382.0,17.0
Oroville Union High,3,321.3333333333333,0.44526666666666664,2.0,373.0,20.0
Oxnard Union High,10,806.8,0.27875,8.0,963.625,21.25
Pacific Grove Unified,2,144.5,0.83205,2.0,144.5,26.0
Pajaro Valley Unified,5,492.4,0.34131999999999996,4.0,599.75,19.5
Palm Springs Unified,5,672.8,0.31246,5.0,672.8,18.2
Palmdale Elementary,2,284.5,0.3118,2.0,284.5,20.0
Palo Alto Unified,3,676.0,0.9128666666666666,3.0,676.0,28.333333333333332
Palos Verdes Peninsula Unified,3,726.0,0.8404333333333334,3.0,726.0,26.666666666666668
Paradise Unified,2,279.5,0.7361,2.0,279.5,24.0
Paramount Unified,3,852.6666666666666,0.12783333333333333,2.0,1208.0,21.0
Parlier Unified,2,216.5,0.27449999999999997,2.0,216.5,18.0
Pasadena Unified,6,444.6666666666667,0.3745,5.0,523.8,20.8
Paso Robles Joint Unified,2,516.5,0.5379,2.0,516.5,22.0
Patterson Joint Unified,2,409.5,0.2639,2.0,409.5,21.0
Perris Union High,5,834.4,0.29501999999999995,4.0,1015.75,18.25
Petaluma Joint Union High,3,544.3333333333334,0.6488333333333333,3.0,544.3333333333334,23.333333333333332
Piedmont City Unified,2,218.0,0.8506,2.0,218.0,29.0
Pierce Joint Unified,2,105.0,0.1429,2.0,105.0,19.0
Pittsburg Unified,2,778.0,0.34534999999999993,2.0,778.0,19.0
Placentia-Yorba Linda Unified,5,818.0,0.77536,5.0,818.0,24.2
Placer Union High,4,470.0,0.675025,4.0,470.0,23.25
Pleasanton Unified,3,801.0,0.8478,3.0,801.0,28.0
Pomona Unified,8,420.875,0.2200375,6.0,540.0,18.333333333333332
Porterville Unified,5,595.0,0.34754,5.0,595.0,19.0
Poway Unified,6,939.1666666666666,0.8142333333333333,6.0,939.1666666666666,26.166666666666668
Ramona City Unified,2,414.0,0.60975,2.0,414.0,23.0
Red Bluff Joint Union High,2,346.0,0.6522,2.0,346.0,20.0
Redlands Unified,6,602.6666666666666,0.4959833333333334,4.0,861.5,24.5
Redondo Beach Unified,2,733.0,0.7947,2.0,733.0,23.0
Reef-Sunset Unified,2,157.0,0.1429,2.0,157.0,15.0
Rialto Unified,4,922.75,0.350925,4.0,922.75,18.75
Rim of the World Unified,2,224.0,0.3393,2.0,224.0,22.0
Ripon Unified,3,267.0,0.49183333333333334,2.0,297.5,23.0
River Delta Joint Unified,3,109.66666666666667,0.29246666666666665,2.0,139.5,18.5
Riverdale Joint Unified,2,125.5,0.2439,2.0,125.5,18.0
Riverside Unified,9,725.8888888888889,0.4386111111111111,7.0,903.4285714285714,21.428571428571427
Rocklin Unified,4,561.75,0.7615999999999999,4.0,561.75,23.75
Roseland,2,147.0,0.3469,2.0,147.0,18.0
Roseville Joint Union High,6,824.1666666666666,0.7233,6.0,824.1666666666666,23.833333333333332
Rowland Unified,3,710.6666666666666,0.4881666666666667,3.0,710.6666666666666,21.666666666666668
SBC - High Tech High,3,161.33333333333334,0.3176,3.0,161.33333333333334,19.333333333333332
SBE - Academia Avance Charter,2,65.0,0.1429,2.0,65.0,17.0
SBE - New West Charter,2,90.0,0.7021,2.0,90.0,24.0
Sacramento City Unified,10,586.1,0.44189,8.0,717.875,20.25
Saddleback Valley Unified,5,914.8,0.69198,5.0,914.8,24.8
Saint Helena Unified,2,121.0,0.5957,2.0,121.0,22.0
Salinas Union High,5,1017.0,0.35934,5.0,1017.0,19.0
San Benito High,2,775.5,0.5024000000000001,2.0,775.5,21.0
San Bernardino City Unified,9,698.7777777777778,0.2847222222222222,8.0,779.625,18.25
San Diego County Office of Education,1,631.0,0.0,2.0,355.5,24.0
San Diego Unified,35,497.8285714285714,0.42806,25.0,643.28,21.28
San Dieguito Union High,5,919.4,0.8370799999999999,5.0,919.4,27.2
San Francisco Unified,18,470.1111111111111,0.45521111111111107,17.0,492.70588235294116,20.176470588235293
San Gabriel Unified,3,401.6666666666667,0.5923666666666666,2.0,526.0,26.0
San Jacinto Unified,3,499.6666666666667,0.2659,2.0,716.5,18.0
San Joaquin County Office of Education,2,544.5,0.23869999999999997,2.0,544.5,17.0
San Jose Unified,8,614.75,0.5424875,7.0,669.1428571428571,23.428571428571427
San Juan Unified,12,701.75,0.478725,10.0,714.8,22.3
San Leandro Unified,2,708.0,0.4301,2.0,708.0,21.0
San Lorenzo Unified,5,420.8,0.42102000000000006,4.0,515.5,21.5
San Lorenzo Valley Unified,2,191.5,0.5874999999999999,2.0,191.5,23.5
San Luis Coastal Unified,3,386.0,0.7861666666666668,3.0,386.0,24.333333333333332
San Marcos Unified,3,955.3333333333334,0.5778,3.0,955.3333333333334,22.0
San Marino Unified,2,272.0,0.9333,2.0,272.0,29.0
